,property_id,address,property_name,description,num_bedroom,num_bathroom,area_size,price,transaction_type,property_type,parking,laundry,furnished,pet_friendly,latitude,longitude,build_year,smoking_allowed,air_conditioning,hardwood_floors,balcony
51,520520,11218 124 St,Welcome to Amora Apartments!,11218 124 St,1,1,,850,Rent,Apartment,underground,shared,False,True,53.561099,-113.5364222,2000-01-01,False,False,True,False
52,402270,10829 113 Street NW,CHARLES MANOR,10829 113 Street NW,1,1,0,820,Rent,Apartment,covered,in_suite,False,True,53.553996,-113.515267,2000-01-01,False,True,False,False
53,334230,10803 113 St NW,THE EXECUTIVE,10803 113 St NW,1,1,0,850,Rent,Apartment,garage,shared,True,True,53.553249,-113.5151581,2000-01-01,False,False,True,True
54,334141,12948 118 Avenue NW,SKYVIEW APARTMENTS,12948 118 Avenue NW,1,1,0,950,Rent,Apartment,garage,in_suite,False,True,53.5706244,-113.5475113,2000-01-01,False,False,True,False
55,456767,1-14 Horner Rd NW,HARTFORD COUNTY TOWNHOMES,1-14 Horner Rd NW,3,1.5,1065,1549,Rent,Townhouse,garage,shared,True,True,53.585511613282,-113.38921797116,2000-01-01,False,True,False,False
56,334212,11760 129th St NW,ALEXANDRIA APARTMENTS,11760 129th St NW,1,1,678,990,Rent,Apartment,garage,in_suite,True,True,53.5700069,-113.5450029,2000-01-01,False,True,True,True
57,520346,11330 124 Street,Waldorf Apartments,11330 124 Street,studio,1,,749,Rent,Apartment,outdoor,in_suite,True,True,53.5632011,-113.5363988,2000-01-01,False,False,True,True
58,450155,231A Creston Place (56 Street - 144 Avenue),Great Apartment - Townhomes For Rent in North Edmonton | Creston Place,231A Creston Place (56 Street - 144 Avenue),2,1.5,1060,1490,Rent,Townhouse,underground,shared,False,False,53.606807,-113.427183,2000-01-01,False,False,True,False
59,522645,10837 83 Avenue Northwest Whyte Ave,Luxurious Apartments in Whyte Ave,10837 83 Avenue Northwest Whyte Ave,2,2,,1950,Rent,Apartment,outdoor,shared,False,False,53.5188809,-113.5110976,2000-01-01,False,False,False,False
60,524338,11112 101 Street Northwest,"Fantastic! Renovated Apartments at ""The Tower"" at Royal Alex Place",11112 101 Street Northwest,2,1,900,1425,Rent,Apartment,outdoor,in_suite,False,True,53.559311,-113.493969,2000-01-01,False,False,True,True
61,454506,10215 95 Street,The Hat at Five Corners,10215 95 Street,studio,1,1160,1300,Rent,Apartment,garage,shared,False,True,53.54576269947,-113.47905490675,2000-01-01,False,True,True,True
62,485534,9660 229 Street,Luxury Apartments in Secord,9660 229 Street,2,2,944,1450,Rent,Apartment,garage,in_suite,False,True,53.5361,-113.71214,2000-01-01,False,False,False,True
63,288658,150-8930 Jasper Ave. NW,Boardwalk Centre,150-8930 Jasper Ave. NW,studio,1,541,1159,Rent,Apartment,underground,in_suite,True,True,53.5526427,-113.4739792,2000-01-01,False,True,False,True
64,288683,8830 85 St. NW,Sir William Place,8830 85 St. NW,1,1,771,1324,Rent,Apartment,outdoor,in_suite,True,True,53.5241524,-113.4586098,2000-01-01,False,True,False,True
65,469675,241/245 Watt Common SW,Harmony At Walker Lakes,241/245 Watt Common SW,studio,1,,1275,Rent,Apartment,covered,shared,True,True,53.4232685,-113.4268247,2023-08-01,False,False,False,False
66,523936,5104 Chappelle Road SW,VUE at Creekwood East Townhomes - Now Leasing,5104 Chappelle Road SW,3,2.5,1403,1875,Rent,Townhouse,covered,shared,True,True,53.40028,-113.57052,2023-08-01,False,True,True,True
67,288674,14407 121 St. NW,Castle Court,14407 121 St. NW,2,1.5,1100,1299,Rent,Apartment,outdoor,shared,True,True,53.606302,-113.528421,2023-08-14,False,True,True,False
68,333578,2474 Bowen Wynd,Lovely Apartments -- ask about out two bedroom plus den!,2474 Bowen Wynd,1,1,609,1425,Rent,Apartment,covered,shared,True,True,53.417062015518,-113.51704597377,2023-08-15,False,True,True,True
69,523496,8210 111 Street NW,ONE MONTH FREE | Pet-Friendly Suites at Windsor Park Plaza & Lofts,8210 111 Street NW,studio,1,0,1420,Rent,Apartment,covered,shared,False,True,53.5186238,-113.5182316,2000-01-01,False,True,False,True
70,340735,5868 - 5872 Mullen Place,"Pet Friendly Building w/ Elevator, In Suite Laundry, Dishwasher & Balcony in Terwillegar Community!",5868 - 5872 Mullen Place,2,1,880,1499,Rent,Apartment,outdoor,shared,True,True,53.4320628,-113.5697698,2000-01-01,False,True,False,True
71,412229,10621 100 Avenue NW,"Located in the heart of the government district, 100 House is a 78 unit residential rental development, repositioned in ",10621 100 Avenue NW,studio,1,460,1375,Rent,Apartment,garage,shared,True,True,53.5385022,-113.504201,2000-01-01,False,False,False,True
72,340736,707 / 711 Tamarack Way,"Newer Building w/ Elevator, In Suite Laundry, Dishwasher & Balcony in The Meadows Community!",707 / 711 Tamarack Way,2,1,909,1650,Rent,Apartment,underground,in_suite,False,True,53.4770357,-113.363582,2000-01-01,False,True,True,False
